R0,beta1,gamma,omega,rho,nu,disease,CFR_lo_time,cumcases_hi_time,cumdeaths_1yr
5.199999999999999,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,1.8986301369863015,0.10136986301369863,4743912.080258087
5.3999999999999995,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,1.8082191780821917,0.0958904109589041,4748880.095779859
5.6,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,1.7424657534246575,0.09315068493150686,4752528.298969019
5.8,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,1.6904109589041096,0.08767123287671233,4755271.564419774
6,0.2,40.55555555555556,0.8124999999999999,0.7,0,covid,1.643835616438356,0.08493150684931507,4757449.107499654
1.2,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,Inf,2.0931506849315067,862.2686596334333
1.4,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,Inf,1.0465753424657533,1182937.3985071997
1.5999999999999999,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,Inf,0.8054794520547945,3797735.0798682235
1.7999999999999998,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,18.317808219178083,0.663013698630137,3997771.6011698195
2,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,12.375342465753425,0.547945205479452,4013897.311517208
2.1999999999999997,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,10.158904109589042,0.4465753424657534,4007449.291975824
2.4,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,8.052054794520547,0.3643835616438356,4044937.476668895
2.5999999999999996,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,6.610958904109589,0.3041095890410959,4126694.2487249533
2.8,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,5.553424657534246,0.26301369863013696,4223064.901511128
3,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,4.950684931506849,0.23013698630136986,4313749.668955655
3.1999999999999997,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,4.2027397260273975,0.2054794520547945,4392825.864176462
3.3999999999999995,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,3.8684931506849316,0.1863013698630137,4462174.512686967
3.5999999999999996,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,3.282191780821918,0.16986301369863013,4526624.662591573
3.8,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,3.0136986301369864,0.15616438356164383,4588624.226129132
4,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,2.808219178082192,0.14520547945205478,4643401.185296269
4.199999999999999,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,2.684931506849315,0.13424657534246576,4684113.660220436
4.3999999999999995,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,2.252054794520548,0.12602739726027398,4710419.07651969
4.6,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,2.115068493150685,0.12054794520547946,4726709.932021232
4.8,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.9972602739726026,0.11232876712328767,4737073.317915535
5,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.8794520547945206,0.10684931506849316,4744053.105424782
5.199999999999999,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.7863013698630137,0.10136986301369863,4748965.0146031985
5.3999999999999995,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.7205479452054795,0.0958904109589041,4752520.9180002175
5.6,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.6657534246575343,0.09315068493150686,4755454.156809879
5.8,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.6164383561643836,0.08767123287671233,4757684.156304669
6,0.2,40.55555555555556,0.8916666666666666,0.7,0,covid,1.5671232876712329,0.08493150684931507,4759436.6999059515
